tag,JD,launch_date,launch_year,type,variant,mission,site,agency_raw,agency,provider_group,state_code,category,agency_type,color_category,launch_code
1957 ALP,2436116.31,1957 Oct  4 1928:34,1957,Sputnik 8K71PS,-,PS-1,NIIP-5,MVS,Soviet Union (USSR),USSR,SU,O,state,state_ussr,OS
1957 BET,2436145.60,1957 Nov  3 0230:42,1957,Sputnik 8K71PS,-,PS-2,NIIP-5,MVS,Soviet Union (USSR),USSR,SU,O,state,state_ussr,OS
1957-F01,2436179.20,1957 Dec  6 1644:35,1957,Vanguard,-,Vanguard Test Satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
1958 ALP,2436235.66,1958 Feb  1 0347:56,1958,Jupiter C,JunoI,Explorer 1,CC,ABMA,NASA / US Military,United States,US,O,state,state_us,OS
1958-F01,2436239.81,1958 Feb  5 0733,1958,Vanguard,-,Vanguard Test Satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
1958-F02,2436268.27,1958 Mar  5 1827:57,1958,Jupiter C,JunoI,Explorer 2,CC,ABMA,NASA / US Military,United States,US,F,state,state_us,OF
1958 BET,2436280.01,1958 Mar 17 1215:41,1958,Vanguard,-,Vanguard Test Satellite,CC,NRL,NASA / US Military,United States,US,O,state,state_us,OS
1958 GAM,2436289.23,1958 Mar 26 1738:03,1958,Jupiter C,JunoI,Explorer 3,CC,ABMA,NASA / US Military,United States,US,O,state,state_us,OS
1958-F03,2436320.88,1958 Apr 27 0901,1958,Sputnik 8A91,-,D-1 No. 1,NIIP-5,MVS,Soviet Union (USSR),USSR,SU,F,state,state_ussr,OF
1958-F04,2436322.62,1958 Apr 29 0253:00,1958,Vanguard,-,X-ray satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
1958 DEL,2436338.79,1958 May 15 0700:35,1958,Sputnik 8A91,-,D-1 No. 2,NIIP-5,MVS,Soviet Union (USSR),USSR,SU,O,state,state_ussr,OS
1958-F05,2436351.66,1958 May 28 0346:20,1958,Vanguard,-,Lyman Alpha satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
1958-F06,2436380.71,1958 Jun 26 0500:52,1958,Vanguard,-,X-ray satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
1958-F07,2436409.50,1958 Jul 25,1958,NOTS EV1,-,Diagnostic Payload 1,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958 EPS,2436411.13,1958 Jul 26 1500:57,1958,Jupiter C,JunoI,Explorer 4,CC,ABMA,NASA / US Military,United States,US,O,state,state_us,OS
1958-F08,2436427.50,1958 Aug 12,1958,NOTS EV1,-,Diagnostic Payload 2,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958-F09,2436433.01,1958 Aug 17 1218,1958,Thor Able I,-,Able 1,CC,AFBMD,NASA / US Military,United States,US,F,state,state_us,OF
1958-F10,2436437.50,1958 Aug 22,1958,NOTS EV1,-,Diagnostic Payload 3,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958-F11,2436439.76,1958 Aug 24 0617:22,1958,Jupiter C,JunoI,Explorer 5,CC,ABMA,NASA / US Military,United States,US,F,state,state_us,OF
1958-F12,2436440.50,1958 Aug 25,1958,NOTS EV1,-,Radiation Payload 1,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958-F13,2436441.50,1958 Aug 26,1958,NOTS EV1,-,Radiation Payload 2,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958-F14,2436443.50,1958 Aug 28,1958,NOTS EV1,-,Radiation Payload 3,NOTS,NOTS,NASA / US Military,United States,US,F,state,state_us,OF
1958-F15,2436469.82,1958 Sep 23 0740:23,1958,Vostok-L 8K72,-,E-1 No. 1,NIIP-5,MVS,Soviet Union (USSR),USSR,SU,F,state,state_ussr,OF
1958-U01,2436473.15,1958 Sep 26 1538,1958,Vanguard,-,Cloud cover satellite,CC,NRL,NASA / US Military,United States,US,F,state,state_us,OF
